record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_5ALGlvyQXE6aayZEe,5097666,new_entry,correction,,,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,,Central African Republic,CAF,CF,National,0,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",51.6216756598569,50.3967202007159,48.677859219817,35,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2020-09-30,2020-09-30T18:15:30Z
R_5ALGlvyQXE6aayZBo,5097666,new_entry,correction,,,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,,Central African Republic,CAF,CF,National,0,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",Central African Republic,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",51.6216756598569,50.3967202007159,48.677859219817,35,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2020-09-30,2020-09-30T18:15:30Z
R_2V4PfwPidkdaav3NA,8885628,new_entry,original,,,"On January 28, the Minister of Health and Population in the Central African Republic released a statement encouraging all travelers from China entering the country to fill out health forms and be checked at a health facility if experiencing symptoms.",2020-01-28,2020-01-28,,Central African Republic,CAF,CF,National,0,,,Health Monitoring,,,"",Central African Republic,,,,,,,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,52.3029008332904,47.0274638194518,40.6581293167697,59,http://www.faapa.info/blog/des-mesures-en-centrafrique-contre-lepidemie-de-coronavirus/,2020-10-19,2020-10-19T04:42:42Z
R_3fqsgaEV1WpoYBdEm,4776260,new_entry,original,,,"On 17 April 2020 the National Biology Laboratory of Bangui accepted a  COVID-19 screening device from the MINUSCA Rwanda Contingent, which will help ramp up the CAR Ministry of Health’s efforts to identify infected people in order to stop the spread of the virus and save lives.",2020-04-17,2020-04-17,2020-04-17,Central African Republic,CAF,CF,National,0,,,Health Resources,Test Kits,,"",Central African Republic,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",59.2888183454699,50.3969468204917,41.8494613356308,25,https://www.africanews.com/2020/05/09/coronavirus-rwanda-donates-covid-19-testing-device-to-central-african-republic-car-by-maria-kabatanya//,2020-06-07,2020-06-07T10:37:33Z
R_3PvifSXNS5ZkxEFCc,7964358,new_entry,original,,,"The Central African Republic (CAR) has received 10,000 protective masks, airlifted by Plan International to support the war-torn country in combating COVID-19.

The aid cargo was sent on a humanitarian flight organised by a group of NGOs, including Plan International, with support from the European Civil Protection and Humanitarian Aid Operations department (ECHO).

The plane left Lyon for Bangui this morning on the 8th of May, carrying PPE and medical supplies contributed by 13 international aid agencies.",2020-05-08,2020-05-08,,Central African Republic,CAF,CF,National,0,,,Health Resources,Masks,,"",Central African Republic,,,,,,,,,Mandatory (Unspecified/Implied),National Government,,,,,https://plan-international.org/news/2020-05-07-10000-protective-masks-airlifted-central-african-republic,2020-07-21,2020-07-21T08:26:58Z
R_vw5bOGf75J2pWRXNA,5002751,new_entry,original,,,"On 6 March 2020, the Minister of Health in the Central African Republic announced that all travelers entering the country would be tested and classified as ""without risk"",""with symptoms despite not staying in a zone confirmed of local transmission"", ""contact with COVID-19"", and ""suspected case of COVID-19"".",2020-03-06,2020-03-06,,Central African Republic,CAF,CF,National,0,,,Health Testing,,,"",Central African Republic,,,,,,,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,55.4938865049678,48.9820996974171,43.2550712786777,56,https://cf.ambafrance.org/IMG/pdf/directives_covid19.pdf?1912/8dee6c4278e82129519cde5fe42b055d80ce12e5,2020-11-08,2020-11-08T01:39:02Z
R_1mghiblLqCWD8MdNA,8977224,new_entry,correction,,,"On April 24, the Central African Republic has announced that taken a grant to increase the testing and mitigation capabilities.",2020-04-24,2020-04-24,2020-04-24,Central African Republic,CAF,CF,National,0,,,Other Policy Not Listed Above,,"On April 24, the Central African Republic has announced that taken a grant to increase the testing and mitigation capabilities.","",Central African Republic,,,,,,,,,Mandatory (Unspecified/Implied),National Government,60.7583694557687,49.9503359040515,38.4539674781856,23,https://www.miragenews.com/central-african-republic-to-strengthen-preparedness-and-response-to-coronavirus/,2020-09-30,2020-09-30T18:34:36Z
R_2CkseV5r3lq0i4eAm,7101150,new_entry,original,,,"On March 13, the government of the Central African Republic established a coronavirus hotline (French and Sango), where citizens could call 1212 to ask questions or report possible exposure.",2020-03-13,2020-03-13,,Central African Republic,CAF,CF,National,0,,,Public Awareness Measures,Both Disseminating and Gathering information related to COVID-19,,"",,,,,,,,,,Mandatory (Unspecified/Implied),National Government,55.6080576177098,49.3877287728619,43.7982489475161,52,https://www.osac.gov/Country/CentralAfricanRepublic/Content/Detail/Report/0128be10-e70b-4a9d-ba46-183864062dff,2020-06-11,2020-06-11T05:51:28Z
R_3R3keOgqHlBmXFKAm,8577907,new_entry,correction,,,"On March 14, WHO and the Ministry of Health and Population started raising awareness on things to know, the importance of not giving in to panic and steps to prevent the disease, on WASH hygiene and social distancing. An alert number of the Ministry of Health and Population was set to report storage cases.",2020-03-14,2020-03-14,2020-03-14,Central African Republic,CAF,CF,National,0,,,Public Awareness Measures,Both Disseminating and Gathering information related to COVID-19,,"",Central African Republic,,,,,,,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,55.140173414259,49.5425103740056,44.6472900248206,51,https://www.afro.who.int/node/12404,2020-10-04,2020-10-04T02:32:46Z
R_3Rqq4IUHRPatJN5Ef,852900,new_entry,original,,,"On March 27, the Central African Republic declared a 14 to 20 day quarantine of those suspected of infection, barring medical decisions.",2020-03-27,2020-03-27,,Central African Republic,CAF,CF,National,0,,,Quarantine,Self-Quarantine (i.e. quarantine at home),,"",Central African Republic,,,,,,,,,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,52.3951712881541,50.4615414260268,48.2564699713632,35,https://www.facebook.com/gouv.cf/photos/pcb.2594650120774731/2594649857441424/?type=3&theater,2020-10-03,2020-10-03T06:49:39Z
