record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_3ipZFjnXYtIieSFNA,3025347,new_entry,original,,,"On February 1, 2020, the government of Kerala, India issued guidelines to the general public in Malayalam, warning against false news being spread about the coronavirus - such as drinking hot water or salt water as a treatment. The public was instructed not to forward such messages, and instead follow and spread only the advisories issued by the Department of Health.",2020-02-01,2020-02-01,,India,IND,IN,Provincial,0,Kerala,,Anti-Disinformation Measures,,,"",India,,,Kerala,,,,,,Voluntary/Recommended but No Penalties,Provincial/State Government,50.5840751672078,48.8764126349831,46.5323464717597,172,https://dhs.kerala.gov.in/wp-content/uploads/2020/03/corp_02022020.pdf,2020-08-28,2020-08-28T07:11:10Z
R_tKWg1YI3q0wNu25NA,9993701,new_entry,original,,,A wave of misinformation and rumour on Covid-19 making rounds among the public in India on 10th March which had forced the Indian Government to issue an advisory.,2020-03-10,2020-03-10,,India,IND,IN,National,0,,,Anti-Disinformation Measures,,,"",India,,,,,,,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",52.4684575722065,51.4215307655207,50.5048550981828,155,https://www.aljazeera.com/news/2020/03/misinformation-fake-news-spark-india-coronavirus-fears-200309051731540.html,2020-08-07,2020-08-07T17:43:48Z
R_3nwQRqgm0JH5qADNA,7349052,new_entry,original,,,"In India, West Bengal Police warned rumour-mongers of strict action against spreading fake news on social media over novel coronavirus. March 19.",2020-03-19,2020-03-19,,India,IND,IN,Provincial,0,West Bengal,,Anti-Disinformation Measures,,,"",India,,,West Bengal,,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Provincial/State Government,Police",52.8255740836747,51.6281598510844,50.3538010610341,89,https://www.telegraphindia.com/west-bengal/coronavirus-in-west-bengal-kolkata-police-warns-rumour-mongers-of-stern-action/cid/1755432,2020-07-09,2020-07-09T17:19:11Z
R_2xQrHtLcLPosyihNA,788810,new_entry,original,,,North Goa (a district in Goa) decided on policies to curb the spread of misinformation related to the pandemic.,2020-03-21,2020-03-23,,India,IND,IN,Municipal,0,Goa,District of North Goa,Anti-Disinformation Measures,,,"",India,,,Goa,District of North Goa,,,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","Municipal Government,Police",52.8353649500073,51.6597890536092,50.5327586419477,66,https://www.goa.gov.in/wp-content/uploads/2020/03/Restrictive-Measures-Put-In-Place-During-The-Extented-Janta-Curfew-And-For-Prevention-Of-COVID19-In-The-North-Goa-District.pdf,2020-11-07,2020-11-07T03:16:23Z
R_12fKcPTE8oaWTDtNA,4899829,new_entry,original,,,"Hazaribagh (a district in the Indian state of Jharkhand) formed a media cell to provide vetted information to the public, dated 25 March 2020.",2020-03-25,2020-03-25,,India,IND,IN,Municipal,0,Jharkhand,Hazaribagh,Anti-Disinformation Measures,,,"",India,,,Jharkhand,Hazaribagh,,,,,Mandatory (Unspecified/Implied),Municipal Government,52.7959346148835,51.6706471134167,50.735207565942,64,https://cdn.s3waas.gov.in/s3ed265bc903a5a097f61d3ec064d96d2e/uploads/2020/03/2020032594.pdf,2020-12-07,2020-12-07T03:33:25Z
R_1eKqwSlUBjcE93aNA,1670255,new_entry,original,,,"In India, West Bengal Chief Minister warns against posting fake vidoes about coronavirus on social media. March 27.",2020-03-27,2020-03-27,,India,IND,IN,Provincial,0,West Bengal,,Anti-Disinformation Measures,,,"",India,,,West Bengal,,,,,,Mandatory (Unspecified/Implied),"Provincial/State Government,Police",53.4127160693926,51.6505530004504,50.2471181379407,58,https://www.business-standard.com/article/current-affairs/mamata-warns-of-action-against-those-posting-fake-news-on-coronavirus-120032701694_1.html ; https://indianexpress.com/article/cities/kolkata/coronavirus-india-lockdown-dont-play-with-fire-cm-mamta-banerjee-warns-against-sharing-fake-news-related-to-coronavirus-6335132/,2020-07-10,2020-07-10T12:39:07Z
R_24ocTBoiiUB5FjfNA,7859117,new_entry,original,,,"Jharkhand (a state in India) initiated measures to combat disinformation about the pandemic and the  policies of the government related to it, 05 April.",2020-04-05,2020-04-05,,India,IND,IN,Provincial,0,Jharkhand,,Anti-Disinformation Measures,,,"",India,,,Jharkhand,,,,,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",53.3310059405434,51.7229885820314,50.008503849759,48,https://dhanbad.nic.in/covid-19-related-notices/,2020-10-25,2020-10-25T03:06:45Z
R_3fTMzJSKYksQ85RDi,1653230,new_entry,original,,,J&K (India) government on 7th March  has announced all primary schools in the district of Jammu and Samba to shut down till 31st March.,2020-03-07,2020-03-07,2020-03-31,India,IND,IN,Provincial,1,Jammu and Kashmir,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,India,,,Jammu and Kashmir,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"Provincial/State Government,Municipal Government",52.7142080960983,51.2448753908646,50.1662753611082,161,https://www.hindustantimes.com/india-news/jk-govt-braces-for-coronavirus-shuts-down-schools-in-jammu-and-samba-till-march-31/story-WyYt7c9S0RzX2PvnxXqDvN.html,2020-09-21,2020-09-21T14:08:35Z
R_3CQoD8rliuhET4GDg,2232092,new_entry,original,,,"The state government of Karnataka, India has declared that all pre- primary and primary schools (classes 1- 5) in Bengaluru are to be closed for an indefinite period starting March 9th, 2020. This is in light of the confirmation of the first case of coronavirus reported in Karnataka, in the city of Bengaluru.",2020-03-09,2020-03-09,,India,IND,IN,Provincial,1,Karnataka,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,India,,,Karnataka,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)","Provincial/State Government,Municipal Government",52.5345165231076,51.4737054759299,50.3823275220277,159,file:///C:/Users/Shraddha/Desktop/me/Internships/CoronaNet/07-08-2020_All%20primary%20schools%20in%20Bengaluru%20shut%20indefinitely%20due%20to%20coronavirus.pdf ; file:///C:/Users/Shraddha/Desktop/me/Internships/CoronaNet/07-08-2020_Action%20against%20Bengaluru%20schools%20for%20not%20shutting%20down%20classes%20up%20to%20Class%205-%20S%20Suresh%20Kumar.pdf,2020-07-08,2020-07-08T15:14:29Z
R_3CQoD8rliuhET4GDi,2232092,new_entry,original,,,"The state government of Karnataka, India has declared that all pre- primary and primary schools (classes 1- 5) in Bengaluru are to be closed for an indefinite period starting March 9th, 2020. This is in light of the confirmation of the first case of coronavirus reported in Karnataka, in the city of Bengaluru.",2020-03-09,2020-03-09,,India,IND,IN,Provincial,1,Karnataka,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,India,,,Karnataka,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory (Unspecified/Implied)","Provincial/State Government,Municipal Government",52.5345165231076,51.4737054759299,50.3823275220277,159,file:///C:/Users/Shraddha/Desktop/me/Internships/CoronaNet/07-08-2020_All%20primary%20schools%20in%20Bengaluru%20shut%20indefinitely%20due%20to%20coronavirus.pdf ; file:///C:/Users/Shraddha/Desktop/me/Internships/CoronaNet/07-08-2020_Action%20against%20Bengaluru%20schools%20for%20not%20shutting%20down%20classes%20up%20to%20Class%205-%20S%20Suresh%20Kumar.pdf,2020-07-08,2020-07-08T15:14:29Z
