"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2wBSqxnO6JtgByiDo",1500422,"new_entry","correction","NA",NA,"Seychelles closes school for 14 days from 16 March 2020 onwards.","2020-03-15","2020-03-16",2020-03-29,"Seychelles","SYC","SC","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Seychelles",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.0598338606178,50.9209630140496,49.3947252726265,80,"https://www.facebook.com/mohseychellesofficial/photos/a.732932570241210/1346742085526919/?type=3&theater","2020-06-18","2020-06-18 09:23:58"
"2","R_2wBSqxnO6JtgByiEm",1500422,"new_entry","correction","NA",NA,"Seychelles closes school for 14 days from 16 March 2020 onwards.","2020-03-15","2020-03-16",2020-03-29,"Seychelles","SYC","SC","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Seychelles",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",52.0598338606178,50.9209630140496,49.3947252726265,80,"https://www.facebook.com/mohseychellesofficial/photos/a.732932570241210/1346742085526919/?type=3&theater","2020-06-18","2020-06-18 09:23:58"
"3","R_1PZe7rdct2xiTfkDo",1500422,"update","original","End of Policy",NA,"Seychelles closes school for 14 days from 16 March 2020 onwards.","2020-03-15","2020-04-16",2020-03-29,"Seychelles","SYC","SC","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Seychelles",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.0214958598198,53.0919281820695,52.0615436114695,100,"https://www.facebook.com/mohseychellesofficial/photos/a.732932570241210/1346742085526919/?type=3&theater","2020-05-16","2020-05-16 00:13:16"
"4","R_1PZe7rdct2xiTfkEm",1500422,"update","original","End of Policy",NA,"Seychelles closes school for 14 days from 16 March 2020 onwards.","2020-03-15","2020-04-16",2020-03-29,"Seychelles","SYC","SC","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Seychelles",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.0214958598198,53.0919281820695,52.0615436114695,100,"https://www.facebook.com/mohseychellesofficial/photos/a.732932570241210/1346742085526919/?type=3&theater","2020-05-16","2020-05-16 00:13:16"
"5","R_3sc8GqKYUKIt6aUFg",1911615,"new_entry","original","NA",NA,"Seychelles bans all travel to and from China on 29 Jan 2020.","2020-01-29","2020-01-29",2020-08-01,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Seychelles","One or more countries, but not all countries",NA,NA,NA,NA,"Foreign Travelers","Inbound/Outbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,"http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus","2020-04-04","2020-04-04 14:13:25"
"6","R_27JAuRIPRDb44Q6Fg",1911615,"update","original","End of Policy","Relaxing","Seychelles confirmed the authorization for commercial flights to enter Seychelles as of August 1, 2020.

The new lift in air travel restrictions on the destination comes as an indication of the successful progression of the implementation of the first phase of movement restrictions effective as of June 1, 2020.","2020-01-29","2020-01-29",2020-08-01,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Seychelles","One or more countries, but not all countries","Europe,Other Regions (please specify below)",NA,NA,NA,"Foreign Travelers","Inbound/Outbound","Flights,Seaports,Cruises,Ferries","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",49.7082959302843,48.5500667026972,46.91326155086,174,"http://www.seychellesnewsagency.com/articles/12340/Seychelles%27+Ministry+of+Health+bans+travel+to+China+due+to+coronavirus","2020-07-14","2020-07-14 00:48:07"
"7","R_6FjQztUsUOPVbO1Fg",1911615,"update","original","NA",NA,"Seychelles expands China virus travel ban to South Korea, Italy and Iran on 26 February 2020.","2020-02-26","2020-02-26",2020-08-01,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","China,Iran,Italy,South Korea","One or more countries, but not all countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights,Seaports,Cruises","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",51.1345540064497,49.9375554536386,48.5103270721679,144,"http://www.seychellesnewsagency.com/articles/12492/Seychelles+expands+China+virus+travel+ban+to+South+Korea%2C+Italy+and+Iran","2020-04-04","2020-04-04 14:35:23"
"8","R_2Eu7VPlmy0sz15UFg",1911615,"update","correction","NA",NA,"Seychelles travel ban includes South Korea, Italy and Iran on 26 February 2020.","2020-02-26","2020-02-26",2020-08-01,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Iran,Italy,South Korea","One or more countries, but not all countries","Europe,Other Regions (please specify below)",NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights,Seaports,Cruises","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",51.1345540064497,49.9375554536386,48.5103270721679,144,"http://www.seychellesnewsagency.com/articles/12492/Seychelles+expands+China+virus+travel+ban+to+South+Korea%2C+Italy+and+Iran","2020-04-05","2020-04-05 12:38:13"
"9","R_x4phlaYTHKVt8d3Fg",1911615,"update","correction","NA","Relaxing","Seychelles travel ban includes South Korea, Italy and Iran on 26 February 2020.","2020-02-26","2020-02-26",2020-08-01,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","Iran,Italy,South Korea","One or more countries, but not all countries","Europe,Other Regions (please specify below)",NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound/Outbound","Flights,Seaports,Cruises","Mandatory (Unspecified/Implied),Mandatory with Exceptions (Please list exceptions in the text entry)","National Government,Ministry/Department of Health",51.1345540064497,49.9375554536386,48.5103270721679,144,"http://www.seychellesnewsagency.com/articles/12492/Seychelles+expands+China+virus+travel+ban+to+South+Korea%2C+Italy+and+Iran","2020-07-04","2020-07-04 21:42:18"
"10","R_2THoSrUTAgqUD15Fg",792064,"new_entry","original","NA",NA,"All cruise ships are banned from entering Seychelles water until further notice starting 10 March 2020.","2020-03-09","2020-03-10",NA,"Seychelles","SYC","SC","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All Travelers (Citizen Travelers + Foreign Travelers )","Inbound","Cruises","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",51.5656418490279,50.3593484484216,49.1488820688474,103,"http://www.seychellesnewsagency.com/articles/12553/Seychelles+closes+cruise+ship+season+amidst+fears+of+COVID","2020-04-05","2020-04-05 15:11:09"
