"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2QzZ8MNPTwZ6qgQEd",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Self-Quarantine (i.e. quarantine at home)",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"2","R_2QzZ8MNPTwZ6qgQBy",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Lockdown only applies to people of certain ages (Please note the age restriction in the text box)",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"3","R_2QzZ8MNPTwZ6qgQEw",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Visa extensions (e.g. visa validity extended)",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"4","R_2QzZ8MNPTwZ6qgQDb",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Postponement of an annually recurring event",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"5","R_2QzZ8MNPTwZ6qgQBw",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Keeping a distance of at least 6 feet or 1.5 meters apart",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"6","R_2QzZ8MNPTwZ6qgQFb",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Wearing Masks in all public spaces/everywhere",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"7","R_2QzZ8MNPTwZ6qgQAf",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","77400",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"8","R_2QzZ8MNPTwZ6qgQAa",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","18000",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"9","R_2QzZ8MNPTwZ6qgQDe",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Primary Schools (generally for children ages 10 and below)",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
"10","R_2QzZ8MNPTwZ6qgQEc",9544336,"new_entry","original",NA,NA,"In Sudan, in Khartoum State, as of 18th of March fines will be levied for people spreading false information.",2020-03-18,2020-03-18,NA,"Sudan","SDN","SD","Provincial",0,"Khartoum",NA,"Anti-Disinformation Measures","Secondary Schools (generally for children ages 10 to 18)",NA,NA,"Sudan",NA,NA,"Khartoum",NA,NA,NA,NA,NA,"Mandatory with Fines","National Government",53.1405941732851,51.7050201354053,50.414178018838,99,"https://web.archive.org/web/20200818181442if_/https://reliefweb.int/sites/reliefweb.int/files/resources/Situation%20Report%20-%20Sudan%20-%207%20May%202020.pdf",2020-08-23,2020-08-23 14:15:20
