record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,index_high_est,index_med_est,index_low_est,index_country_rank,link,date_updated,recorded_date
R_2wjkCzzLvc99GApBu,539360,new_entry,original,,,"On May 6, the Congregatio de Institutione Catolica announced that Ecclesiastical Universities should finish the year using videoconferencing and other distance learning technologies.",2020-05-06,2020-05-06,,Vatican,VAT,VA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Vatican,One or more geographical or administrative units within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,http://www.educatio.va/content/dam/cec/Documenti/Norme%20transitorie%206%20maggio%202020%20EN.pdf,2020-08-16,2020-08-16T17:22:17Z
R_3HBRLh75WMJXs3tBu,539360,update,original,End of Policy,,"On June 15, the Congregation for Catholic Education instructed Ecclesiastical Universities to return to in person instruction for the upcoming school year. UPDATE: While Universities were put largely online through the Spring 2020 semester, schools are now instructed to reopen and hold classes in person as much as possible.",2020-06-15,2020-06-15,,Vatican,VAT,VA,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions allowed to open with conditions,Vatican,One or more geographical or administrative units within one or more countries,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,NA ; http://www.educatio.va/content/dam/cec/Documenti/Norme%20transitorie%20VG%20anno%20prossimo%20EN.pdf,2020-08-16,2020-08-16T17:30:59Z
R_1DNC4L2FjdbyNVaNA,2483870,new_entry,original,,,"The Vatican announced May 23 that all visitors to the Vatican museums will be subject to temperature checks. ""A medical and health team from Italy’s Misericordie volunteer group and the Vatican’s Health and Hygiene Department will ensure every need during the opening hours.""",2020-05-23,2020-06-01,,Vatican,VAT,VA,National,0,,,,Health Monitoring,,,,All countries,All countries,,,,,All (Travelers + Residents),Inbound,Not Applicable,Mandatory (Unspecified/Implied),"Ministry/Department of Health,Other (Please specify in the text box)",,,,,https://www.vaticannews.va/en/vatican-city/news/2020-05/vatican-museums-reopen-june1-castel-gandolfo-coronavirus-restric.html,2020-08-15,2020-08-15T14:45:51Z
R_3OcTSyNyYEDaucHFo,1173396,new_entry,original,,,"The Vatican has donated 35 ventilators to 13 different countries, ""especially those with poor health care systems.""",2020-06-26,2020-06-26,2020-06-27,Vatican,VAT,VA,National,0,,,,Health Resources,Ventilators,,,"Bangladesh,Bolivia,Brazil,Cameroon,Colombia,Dominican Republic,Ecuador,Haiti,Honduras,Mexico,Ukraine,Venezuela,Zimbabwe",One or more countries and one or more regional groupings,,,,,Health-Related Supplies,,Not Applicable,Mandatory (Unspecified/Implied),Other (Please specify in the text box),,,,,https://www.vaticannews.va/en/pope/news/2020-06/covid-19-pope-franciss-many-gestures-of-closeness.html,2020-06-30,2020-06-30T22:19:19Z
R_2tKyXsBQOjG56iHCy,5285636,new_entry,original,,,"On June 3, the Dicastery for the Promotion of Integral Human Development announced that Pope Francis ""has donated 25,000 Euros to the World Food Programme (WFP)."" ""It is 'an immediate expression of the Holy Father’s closeness' to people affected by the pandemic and those 'engaged in essential services in favour of the poor.""",2020-07-03,2020-07-03,2020-07-04,Vatican,VAT,VA,National,0,,,,Health Resources,Other Health Materials,,,,An international organization (e.g. World Health Organization),,,,,All (Travelers + Residents),,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,https://www.vaticannews.va/en/pope/news/2020-07/covid-19-pope-francis-continues-his-gestures-of-closeness.html,2020-07-05,2020-07-05T20:37:32Z
R_31uVVPvc9250AwrCy,5285636,update,original,End of Policy,,"On June 3, the Dicastery for the Promotion of Integral Human Development announced that Pope Francis ""has donated 25,000 Euros to the World Food Programme (WFP)."" This was a one time donation. UPDATE: As it was a one time donation, the policy is now complete.",2020-07-03,2020-07-03,2020-07-04,Vatican,VAT,VA,National,1,,,,Health Resources,Other Health Materials,,,,An international organization (e.g. World Health Organization),,,,,All Residents (Citizen Residents + Foreign Residents),,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Other (Please specify in the text box)",,,,,NA ; https://www.catholicnewsagency.com/news/pope-francis-makes-donation-to-world-food-programme-as-pandemic-causes-rising-hunger-45271,2020-08-14,2020-08-14T18:11:47Z
R_vOeG9xyHWPGqFCFNA,8951340,new_entry,original,,,"The Vatican announced on August 3 that ""Vatican employees and workers who have contact with the public are being tested for the antibodies for COVID-19.""",2020-08-03,2020-08-03,,Vatican,VAT,VA,National,1,,,,Health Testing,,,,Vatican,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://cruxnow.com/vatican/2020/08/vatican-workers-who-meet-public-tested-for-covid-19-antibodies/,2020-08-13,2020-08-13T00:54:45Z
R_2tlOWWqdWGOmrUwCm,5743126,new_entry,original,,,"The Dicastery for Promoting Integral Human Development at the direction of Pope Francis ""has established a Vatican COVID-19 Commission to take up the Pope’s concern through the activities of five Working Groups, which are: acting now for the future; looking to the future with creativity; communicating hope; seeking common dialogue and reflections; supporting to care.""",2020-03-20,2020-03-20,,Vatican,VAT,VA,National,1,,,,"New Task Force, Bureau or Administrative Configuration",New Task Force or Bureau (i.e. establishment of a temporary body),,,Vatican,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.humandevelopment.va/en/vatican-covid-19.html,2020-05-27,2020-05-27T15:38:50Z
R_1CjQzKFBwOZuImvEw,9598640,new_entry,original,,,"As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-05-04,Vatican,VAT,VA,National,1,,,,Restriction and Regulation of Businesses,Supermarkets/grocery stores,,"This type of business  (""Supermarkets/grocery stores"") is allowed to open with conditions",Vatican,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html,2020-05-28,2020-05-28T14:51:38Z
R_1CjQzKFBwOZuImvDl,9598640,new_entry,original,,,"As of March 10 in Vatican City ""the pharmacy and the Annona supermarket remain open, but with restricted entry."" 
At the pharmacy, entrance is limited and shields have been put up to protect employees and shoppers. Similar measures have been put in place at the supermarket. ""These measures will remain in force, unless further indications are given, until 3 April 2020.""",2020-03-10,2020-03-10,2020-05-04,Vatican,VAT,VA,National,1,,,,Restriction and Regulation of Businesses,Pharmacies,,"This type of business  (""Pharmacies"") is allowed to open with conditions",Vatican,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://press.vatican.va/content/salastampa/en/bollettino/pubblico/2020/03/10/200310a.html ; https://www.vaticannews.va/it/vaticano/news/2020-03/cov19-un-solo-caso-in-vaticano.html,2020-05-28,2020-05-28T14:51:38Z
