"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_1BUV28okpC9Q7DRNA",888424,"new_entry","original","NA",NA,"Belarus demonstrated on April 6th that it is enforcing anti-disinformation measures in compliance with the requirements of the On Mass Media Law by actively monitoring the Internet to find misinformation related to the corona virus.",2020-04-06,2020-04-06,NA,"Belarus","BLR","BY","National",0,NA,NA,"Anti-Disinformation Measures",NA,NA,"","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,"Mandatory (Unspecified/Implied),Mandatory (Other; please list other enforcement mechanisms in the text entry)","Other (Please specify in the text box)",54.2277122424109,53.0961496274343,52.0557979607044,114,"http://mininform.gov.by/news/all/vyneseno-preduprezhdenie-za-rasprostranenie-lozhnoy-informatsii/",2020-06-28,"2020-06-28 19:47:12"
"2","R_3HMNyCYvzLZ8vAbCw",5422091,"new_entry","original","NA",NA,"Belarus, April 4, Schools Closure: President extends school holidays for 6 days from 04.06.2020 to 04.11.2020",2020-04-03,2020-04-04,2020-04-12,"Belarus","BLR","BY","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Belarus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.8789413270396,53.0139397406238,52.2795897545539,113,"https://t.me/s/minzdravbelarus",2020-04-08,"2020-04-08 10:07:09"
"3","R_3HMNyCYvzLZ8vAbDr",5422091,"new_entry","original","NA",NA,"Belarus, April 4, Schools Closure: President extends school holidays for 6 days from 04.06.2020 to 04.11.2020",2020-04-03,2020-04-04,2020-04-12,"Belarus","BLR","BY","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Belarus",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.8789413270396,53.0139397406238,52.2795897545539,113,"https://t.me/s/minzdravbelarus",2020-04-08,"2020-04-08 10:07:09"
"4","R_PRLDONImb8Y3pQdCv",2888353,"new_entry","original","NA",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,2020-05-30,"Belarus","BLR","BY","Provincial",1,"Minsk City",NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.5089229014387,53.1639322067003,51.9745559597967,113,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-04-11,"2020-04-11 06:45:41"
"5","R_PRLDONImb8Y3pQdCw",2888353,"new_entry","original","NA",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,2020-05-30,"Belarus","BLR","BY","Provincial",1,"Minsk City",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.5089229014387,53.1639322067003,51.9745559597967,113,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-04-11,"2020-04-11 06:45:41"
"6","R_PRLDONImb8Y3pQdDr",2888353,"new_entry","original","NA",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,2020-05-30,"Belarus","BLR","BY","Provincial",1,"Minsk City",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.5089229014387,53.1639322067003,51.9745559597967,113,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-04-11,"2020-04-11 06:45:41"
"7","R_PRLDONImb8Y3pQdBg",2888353,"new_entry","original","NA",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-07,2020-04-08,2020-05-30,"Belarus","BLR","BY","Provincial",1,"Minsk City",NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.5089229014387,53.1639322067003,51.9745559597967,113,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-04-11,"2020-04-11 06:45:41"
"8","R_3z4NwFPSVMTnnl7Cv",2888353,"update","original","End of Policy",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-10,2020-04-10,2020-05-30,"Belarus","BLR","BY","Provincial",0,"Minsk City",NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.88759131974,53.2996042324008,51.4637151211993,116,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-08-27,"2020-08-27 02:33:39"
"9","R_3z4NwFPSVMTnnl7Cw",2888353,"update","original","End of Policy",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-10,2020-04-10,2020-05-30,"Belarus","BLR","BY","Provincial",0,"Minsk City",NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.88759131974,53.2996042324008,51.4637151211993,116,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-08-27,"2020-08-27 02:33:39"
"10","R_3z4NwFPSVMTnnl7Dr",2888353,"update","original","End of Policy",NA,"Belarus, April 8, Minsk authorities impose voluntary closure of schools: parents are given the right to choose whether to send their child to school or kindergarten or not. In universities and colleges, it is recommended to exclude group classes and use distance education.",2020-04-10,2020-04-10,2020-05-30,"Belarus","BLR","BY","Provincial",0,"Minsk City",NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Belarus",NA,NA,"Minsk City",NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Voluntary/Recommended but No Penalties","Provincial/State Government",54.88759131974,53.2996042324008,51.4637151211993,116,"https://minsk.gov.by/ru/news/new/2020/04/08/704/",2020-08-27,"2020-08-27 02:33:39"
