"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","institution_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_yEkdEStpBat6pgdDe","5731809","new_entry","correction",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",0,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-08-11,2020-08-11 12:52:49
"2","R_yEkdEStpBat6pgdDg","5731809","new_entry","correction",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-08-11,2020-08-11 12:52:49
"3","R_yEkdEStpBat6pgdEc","5731809","new_entry","correction",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-08-11,2020-08-11 12:52:49
"4","R_yEkdEStpBat6pgdBo","5731809","new_entry","correction",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",0,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-08-11,2020-08-11 12:52:49
"5","R_3FVblLXJluPJXASDe","5731809","update","original",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-04-01,2020-04-01 14:17:48
"6","R_3FVblLXJluPJXASDg","5731809","update","original",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-04-01,2020-04-01 14:17:48
"7","R_3FVblLXJluPJXASEc","5731809","update","original",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-04-01,2020-04-01 14:17:48
"8","R_3FVblLXJluPJXASBo","5731809","update","original",NA,NA,"Grenada: ""The Government of Grenada announces that with effect from Monday, March 16th, ALL schools in Grenada, Carriacou and Petite Martinique will be closed, until further notice, as a necessary precaution against the contracting or spread of COVID- 19.""",2020-03-13,2020-03-16,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,NA,"National Government",51.6361322458239,48.5414388754076,45.1449053144143,21,"https://www.mgovernance.net/closure-schools",2020-04-01,2020-04-01 14:17:48
"9","R_3339NXRUeaBvsxwDe","5731809","update","original",NA,NA,"Grenada (04.06.2020 - 04.20.2020): ""Education and religious instruction.—(1) All religious and educational places of instruction or worship shall remain physically closed.
(2) Subregulation (1) does not prohibit any activity referred to therein by electronic or virtual means.""",2020-04-06,2020-04-06,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Preschool or childcare facilities (generally for children ages 5 and below)",NA,"Preschool or childcare facilities closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",55.7184763928336,54.6480557051538,53.6712610589395,178,"https://www.nowgrenada.com/2020/04/emergency-powers-covid-19-no-3-regulations-2020/#xvii",2020-04-07,2020-04-07 09:03:43
"10","R_3339NXRUeaBvsxwDg","5731809","update","original",NA,NA,"Grenada (04.06.2020 - 04.20.2020): ""Education and religious instruction.—(1) All religious and educational places of instruction or worship shall remain physically closed.
(2) Subregulation (1) does not prohibit any activity referred to therein by electronic or virtual means.""",2020-04-06,2020-04-06,2020-08-31,"Grenada","GRD","GD","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Grenada",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government",55.7184763928336,54.6480557051538,53.6712610589395,178,"https://www.nowgrenada.com/2020/04/emergency-powers-covid-19-no-3-regulations-2020/#xvii",2020-04-07,2020-04-07 09:03:43
