"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_2XnEN2shlOnxpqnDp",6347488,"new_entry","correction","NA","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-09-02,"2020-09-02 11:24:54"
"2","R_2XnEN2shlOnxpqnEn",6347488,"new_entry","correction","NA","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-09-02,"2020-09-02 11:24:54"
"3","R_1E6xZefjFAz9rLADp",6347488,"update","correction","NA","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-10-08,"2020-10-08 10:13:46"
"4","R_1E6xZefjFAz9rLAEn",6347488,"update","correction","NA","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-10-08,"2020-10-08 10:13:46"
"5","R_3Q0eDYfWsN6rfZ3Dp",6347488,"update","original","Change of Policy","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-08-31,"2020-08-31 09:16:48"
"6","R_3Q0eDYfWsN6rfZ3En",6347488,"update","original","Change of Policy","Strengthening","Malta will close all educational facilities from the 13th of March until the 20th of March. 

On the 17th of March, the Government of Malta implemented measures to limit the spread of COVID-19. All schools, childcare centers, and universities remain closed until further notice.",2020-03-17,2020-03-21,2020-06-27,"Malta","MLT","MT","National",0,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.4923182373787,52.1899568615461,49.9839132423587,117,"https://www.tvm.com.mt/en/news/all-schools-to-be-shut-down-for-one-week/",2020-08-31,"2020-08-31 09:16:48"
"7","R_3jSXyAnrzOstJXvDp",2580668,"update","original","NA",NA,"1. Schools and educational institutions will remain closed until the end of June, which is the end of the current scholastic year.

2.The SEC examinations (O Levels) will not be done in the session beginning on the 23rd of April.

3.Intermediate and A Level exams will not be held during the session starting on the 23rd of April, but will instead be postponed to September of this year.",2020-03-28,2020-03-28,2020-06-30,"Malta","MLT","MT","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2866482283195,53.3258046464983,52.3715047780962,143,"https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/March/28/pr200570en.aspx",2020-04-02,"2020-04-02 00:46:00"
"8","R_3jSXyAnrzOstJXvEn",2580668,"update","original","NA",NA,"1. Schools and educational institutions will remain closed until the end of June, which is the end of the current scholastic year.

2.The SEC examinations (O Levels) will not be done in the session beginning on the 23rd of April.

3.Intermediate and A Level exams will not be held during the session starting on the 23rd of April, but will instead be postponed to September of this year.",2020-03-28,2020-03-28,2020-06-30,"Malta","MLT","MT","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Malta",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",54.2866482283195,53.3258046464983,52.3715047780962,143,"https://www.gov.mt/en/Government/DOI/Press%20Releases/Pages/2020/March/28/pr200570en.aspx",2020-04-02,"2020-04-02 00:46:00"
"9","R_qXHaY0Fu1666INPFh",145889,"new_entry","original","NA",NA,"Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020.
",2020-03-17,2020-03-20,2020-06-15,"Malta","MLT","MT","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound","Flights","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.5931082684004,52.0574548522548,49.7647351568344,111,"https://www.visitmalta.com/en/covid-19",2020-08-28,"2020-08-28 04:54:50"
"10","R_2uK8eM63pg6oMP3Fh",145889,"update","original","Change of Policy","Strengthening","Maltese Health Authorities announced that all passenger flights inbound to Malta are temporarily suspended as of 23.59Hrs Friday 20th March 2020 until the 31st May 2020.
",2020-03-17,2020-03-20,2020-06-15,"Malta","MLT","MT","National",0,NA,NA,"External Border Restrictions","Visa extensions (e.g. visa validity extended)",NA,"","All countries","All countries",NA,NA,NA,NA,"All (Travelers + Residents)","Inbound/Outbound","Flights","Mandatory (Unspecified/Implied)","National Government,Ministry/Department of Health",54.5931082684004,52.0574548522548,49.7647351568344,111,"https://www.visitmalta.com/en/covid-19",2020-08-28,"2020-08-28 05:21:39"
