"","record_id","policy_id","entry_type","correct_type","update_type","update_level","description","date_announced","date_start","date_end","country","ISO_A3","ISO_A2","init_country_level","domestic_policy","province","city","type","type_sub_cat","type_text","school_status","target_country","target_geog_level","target_region","target_province","target_city","target_other","target_who_what","target_direction","travel_mechanism","compliance","enforcer","index_high_est","index_med_est","index_low_est","index_country_rank","link","date_updated","recorded_date"
"1","R_33fi73V37kn8pUWCw",4405512,"new_entry","original","NA",NA,"The Republic of the Congo is closing """"primary, secondary, technical, and vocational centers; as well as institutions of high education"""" on March 19th 2020",2020-03-18,2020-03-19,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4848115187803,51.3734058718904,50.4736037155516,79,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:27:53"
"2","R_33fi73V37kn8pUWDr",4405512,"new_entry","original","NA",NA,"The Republic of the Congo is closing """"primary, secondary, technical, and vocational centers; as well as institutions of high education"""" on March 19th 2020",2020-03-18,2020-03-19,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4848115187803,51.3734058718904,50.4736037155516,79,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:27:53"
"3","R_33fi73V37kn8pUWBg",4405512,"new_entry","original","NA",NA,"The Republic of the Congo is closing """"primary, secondary, technical, and vocational centers; as well as institutions of high education"""" on March 19th 2020",2020-03-18,2020-03-19,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",52.4848115187803,51.3734058718904,50.4736037155516,79,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:27:53"
"4","R_DkuYOyA64ajPMdPCw",995919,"new_entry","correction","NA",NA,"The Republic of Congo is closing schools including """"primary, secondary, technical, and vocational centers; as well as institutions of higher education"""" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.9929377173037,52.6909966144855,49.4854587429288,84,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:51:23"
"5","R_DkuYOyA64ajPMdPDr",995919,"new_entry","correction","NA",NA,"The Republic of Congo is closing schools including """"primary, secondary, technical, and vocational centers; as well as institutions of higher education"""" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.9929377173037,52.6909966144855,49.4854587429288,84,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:51:23"
"6","R_DkuYOyA64ajPMdPBg",995919,"new_entry","correction","NA",NA,"The Republic of Congo is closing schools including """"primary, secondary, technical, and vocational centers; as well as institutions of higher education"""" effective March 19th and valid for 30 days",2020-03-18,2020-04-19,2020-04-17,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions closed/locked down","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Unspecified/Implied)","National Government",55.9929377173037,52.6909966144855,49.4854587429288,84,"https://www.africanews.com/2020/03/19/covid-19-congo-records-2-more-cases-the-morning-call/",2020-04-04,"2020-04-04 06:51:23"
"7","R_1etr8jfIcVCXYO5Cw",7182405,"new_entry","original","NA",NA,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Primary Schools (generally for children ages 10 and below)",NA,"Primary Schools allowed to open with no conditions","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/",2020-07-14,"2020-07-14 16:33:31"
"8","R_1etr8jfIcVCXYO5Dr",7182405,"new_entry","original","NA",NA,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Secondary Schools (generally for children ages 10 to 18)",NA,"Secondary Schools allowed to open with no conditions","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/",2020-07-14,"2020-07-14 16:33:31"
"9","R_1etr8jfIcVCXYO5Bg",7182405,"new_entry","original","NA",NA,"Republic of the Congo announced that school grades of CM2, 3ieme and Terminale will reopen as of June 1st to allow for exam preparation. All other classes will resume in September.",2020-05-16,2020-05-18,NA,"Republic of the Congo","COG","CG","National",1,NA,NA,"Closure and Regulation of Schools","Higher education institutions (i.e. degree granting institutions)",NA,"Higher education institutions allowed to open with no conditions","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory (Other; please list other enforcement mechanisms in the text entry)","Other (Please specify in the text box)",NA,NA,NA,NA,"https://web.archive.org/web/20200708190432/https://cg.usembassy.gov/health-alert-covid-19-republic-of-congo-curfew-extended-until-may-31/",2020-07-14,"2020-07-14 16:33:31"
"10","R_5ilLxw3KbuKjBPXNA",8099401,"new_entry","original","NA",NA,"A 30 day curfew decreed in the Republic of Congo. An announcement made by the president Denis Sassou Nguesso, 24 hours after the confirmation of 15 new coronavirus cases. The night time curfew is scheduled from 8 p.m. to 5 a.m. local time, while the restrictions concern the entire population “except those working to provide essential goods and services,” according to the head of state.",2020-03-30,2020-03-31,2020-04-30,"Republic of the Congo","COG","CG","National",1,NA,NA,"Curfew",NA,NA,"","Republic of the Congo",NA,NA,NA,NA,NA,"All Residents (Citizen Residents + Foreign Residents)",NA,NA,"Mandatory with Exceptions (Please list exceptions in the text entry)","National Government",53.1857717644595,52.1669489870483,51.2712396306649,69,"https://www.africanews.com/2020/03/30/congo-republic-heads-into-coronavirus-lockdown//",2020-05-27,"2020-05-27 15:42:46"
